code_name,course,session,num_q,num_sr,num_po
Convention,1A_L1,S1,0,0,0
Evaluation,1A_L1,S1,0,0,0
Example generation,1A_L1,S1,0,0,0
Fact,1A_L1,S1,0,0,0
Next step,1A_L1,S1,5,1,4
Other,1A_L1,S1,0,0,0
Proof framework,1A_L1,S1,0,0,0
Warrant,1A_L1,S1,0,0,0
Total,1A_L1,S1,5,1,4
Convention,1A_L1,S2,0,0,0
Evaluation,1A_L1,S2,0,0,0
Example generation,1A_L1,S2,0,0,0
Fact,1A_L1,S2,1,1,1
Next step,1A_L1,S2,0,0,0
Other,1A_L1,S2,0,0,0
Proof framework,1A_L1,S2,0,0,0
Warrant,1A_L1,S2,0,0,0
Total,1A_L1,S2,1,1,1
Convention,1A_L1,S3,0,0,0
Evaluation,1A_L1,S3,0,0,0
Example generation,1A_L1,S3,0,0,0
Fact,1A_L1,S3,6,2,3
Next step,1A_L1,S3,0,0,0
Other,1A_L1,S3,0,0,0
Proof framework,1A_L1,S3,0,0,0
Warrant,1A_L1,S3,3,2,2
Total,1A_L1,S3,9,4,5
Convention,1A_L1,S4,0,0,0
Evaluation,1A_L1,S4,3,1,2
Example generation,1A_L1,S4,1,1,1
Fact,1A_L1,S4,0,0,0
Next step,1A_L1,S4,5,3,3
Other,1A_L1,S4,0,0,0
Proof framework,1A_L1,S4,0,0,0
Warrant,1A_L1,S4,11,4,5
Total,1A_L1,S4,20,9,11
Convention,1A_L2,S1,0,0,0
Evaluation,1A_L2,S1,1,0,0
Example generation,1A_L2,S1,0,0,0
Fact,1A_L2,S1,4,1,2
Next step,1A_L2,S1,0,0,0
Other,1A_L2,S1,0,0,0
Proof framework,1A_L2,S1,0,0,0
Warrant,1A_L2,S1,4,1,2
Total,1A_L2,S1,9,2,4
Convention,1A_L2,S2,0,0,0
Evaluation,1A_L2,S2,0,0,0
Example generation,1A_L2,S2,0,0,0
Fact,1A_L2,S2,7,5,6
Next step,1A_L2,S2,2,1,2
Other,1A_L2,S2,0,0,0
Proof framework,1A_L2,S2,0,0,0
Warrant,1A_L2,S2,0,0,0
Total,1A_L2,S2,9,6,8
Convention,1A_L2,S3,0,0,0
Evaluation,1A_L2,S3,0,0,0
Example generation,1A_L2,S3,0,0,0
Fact,1A_L2,S3,0,0,0
Next step,1A_L2,S3,14,6,8
Other,1A_L2,S3,0,0,0
Proof framework,1A_L2,S3,0,0,0
Warrant,1A_L2,S3,2,1,1
Total,1A_L2,S3,16,7,9
Convention,1A_L2,S4,0,0,0
Evaluation,1A_L2,S4,0,0,0
Example generation,1A_L2,S4,0,0,0
Fact,1A_L2,S4,0,0,0
Next step,1A_L2,S4,5,1,2
Other,1A_L2,S4,0,0,0
Proof framework,1A_L2,S4,0,0,0
Warrant,1A_L2,S4,0,0,0
Total,1A_L2,S4,5,1,2
Convention,1A_L3,S1,0,0,0
Evaluation,1A_L3,S1,0,0,0
Example generation,1A_L3,S1,0,0,0
Fact,1A_L3,S1,0,0,0
Next step,1A_L3,S1,0,0,0
Other,1A_L3,S1,0,0,0
Proof framework,1A_L3,S1,0,0,0
Warrant,1A_L3,S1,0,0,0
Total,1A_L3,S1,0,0,0
Convention,1A_L3,S2,0,0,0
Evaluation,1A_L3,S2,0,0,0
Example generation,1A_L3,S2,0,0,0
Fact,1A_L3,S2,0,0,0
Next step,1A_L3,S2,0,0,0
Other,1A_L3,S2,0,0,0
Proof framework,1A_L3,S2,0,0,0
Warrant,1A_L3,S2,0,0,0
Total,1A_L3,S2,0,0,0
